Kabupaten/Kota Se Jawa Timur;IPM;;
;2019;2020;2021
Kabupaten Pacitan;68.16;68.39;68.57
Kabupaten Ponorogo;70.56;70.81;71.06
Kabupaten Trenggalek;69.46;69.74;70.06
Kabupaten Tulungagung;72.62;73.00;73.15
Kabupaten Blitar;70.57;70.58;71.05
Kabupaten Kediri;71.85;72.05;72.56
Kabupaten Malang;70.35;70.36;70.60
Kabupaten Lumajang;65.33;65.46;66.07
Kabupaten Jember;66.69;67.11;67.32
Kabupaten Banyuwangi;70.60;70.62;71.38
Kabupaten Bondowoso;66.09;66.43;66.59
Kabupaten Situbondo;67.09;67.38;67.78
Kabupaten Probolinggo;65.60;66.07;66.26
Kabupaten Pasuruan;68.29;68.60;68.93
Kabupaten Sidoarjo;80.05;80.29;80.65
Kabupaten Mojokerto;73.53;73.83;74.15
Kabupaten Jombang;72.85;72.97;73.45
Kabupaten Nganjuk;71.71;71.72;71.97
Kabupaten Madiun;71.69;71.73;71.88
Kabupaten Magetan;73.49;73.92;74.15
Kabupaten Ngawi;70.41;70.54;71.04
Kabupaten Bojonegoro;68.75;69.04;69.59
Kabupaten Tuban;68.37;68.40;68.91
Kabupaten Lamongan;72.57;72.58;73.12
Kabupaten Gresik;76.10;76.11;76.50
Kabupaten Bangkalan;63.79;64.11;64.36
Kabupaten Sampang;61.94;62.70;62.80
Kabupaten Pamekasan;65.94;66.26;66.40
Kabupaten Sumenep;66.22;66.43;67.04
Kota Kediri;78.08;78.23;78.60
Kota Blitar;78.56;78.57;78.98
Kota Malang;81.32;81.45;82.04
Kota Probolinggo;73.27;73.27;73.66
Kota Pasuruan;75.25;75.26;75.62
Kota Mojokerto;77.96;78.04;78.43
Kota Madiun;80.88;80.91;81.25
Kota Surabaya;82.22;82.23;82.31
Kota Batu;75.88;75.90;76.28
Jawa Timur;71.50;71.71;72.14
;;;
;;;
Source Url: https://jatim.bps.go.id/indicator/26/36/1/ipm.html;;;
Access Time: January 21, 2022, 10:47 am;;;
